scenarioNum,condition,panel1,panel2,panel3,panel4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,auth,bias,identitySP,identityAD,proposition,targetWord,focusParticle,QUD,authorityCondition,prevBeliefSP,prevBeliefAD,scenarioNumOLD
1,c,target-01-melons-c-SP-pos-1,target-01-melons-c-SP-pos-2,target-01-melons-c-SP-pos-3,target-01-melons-c-SP-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,pos,vet,dog owner,even melons are edible for a dalmatian,melons,even,what sorts of fruits are safe for dogs to eat?,SP > AD,p,neutral,1
1,d,target-01-melons-d-SP-neg-1,target-01-melons-d-SP-neg-2,target-01-melons-d-SP-neg-3,target-01-melons-d-SP-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,neg,vet,dog owner,even melons are edible for a dalmatian,melons,even,what sorts of fruits are safe for dogs to eat?,SP > AD,¬p,neutral,1
2,a,target-02-alligator-a-AD-pos-1,target-02-alligator-a-AD-pos-2,target-02-alligator-a-AD-pos-3,target-02-alligator-a-AD-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,pos,visitor,zoo worker,there’s only an alligator in there,alligator,only,are both a hippo and an alligator in the enclosure?,AD > SP,p,positive,3
2,b,target-02-alligator-b-AD-neg-1,target-02-alligator-b-AD-neg-2,target-02-alligator-b-AD-neg-3,target-02-alligator-b-AD-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,neg,visitor,zoo worker,there’s only an alligator in there,alligator,only,are both a hippo and an alligator in the enclosure?,AD > SP,¬p,positive,3
2,c,target-02-alligator-c-SP-pos-1,target-02-alligator-c-SP-pos-2,target-02-alligator-c-SP-pos-3,target-02-alligator-c-SP-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,pos,zoo worker,visitor,there’s only an alligator in there,alligator,only,are both a hippo and an alligator in the enclosure?,SP > AD,p,neutral,3
2,d,target-02-alligator-d-SP-neg-1,target-02-alligator-d-SP-neg-2,target-02-alligator-d-SP-neg-3,target-02-alligator-d-SP-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,neg,zoo worker,visitor,there’s only an alligator in there,alligator,only,are both a hippo and an alligator in the enclosure?,SP > AD,¬p,neutral,3
3,a,target-03-meeting-a-AD-pos-1,target-03-meeting-a-AD-pos-2,target-03-meeting-a-AD-pos-3,target-03-meeting-a-AD-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,pos,person on the left,Leena’s assistant (behind the desk),she only has a meeting today,meeting,only,does Leena have a board presentation today?,AD > SP,p,positive,4
3,b,target-03-meeting-b-AD-neg-1,target-03-meeting-b-AD-neg-2,target-03-meeting-b-AD-neg-3,target-03-meeting-b-AD-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,neg,person on the left,Leena’s assistant (behind the desk),she only has a meeting today,meeting,only,does Leena have a board presentation today?,AD > SP,¬p,positive,4
3,c,target-03-meeting-c-SP-pos-1,target-03-meeting-c-SP-pos-2,target-03-meeting-c-SP-pos-3,target-03-meeting-c-SP-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,pos,Leena’s assistant (behind the desk),person on the left,she only has a meeting today,meeting,only,does Leena have a board presentation today?,SP > AD,p,positive,4
3,d,target-03-meeting-d-SP-neg-1,target-03-meeting-d-SP-neg-2,target-03-meeting-d-SP-neg-3,target-03-meeting-d-SP-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,neg,Leena’s assistant (behind the desk),person on the left,she only has a meeting today,meeting,only,does Leena have a board presentation today?,SP > AD,¬p,positive,4
